"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Antigua and Barbuda","ATG","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203","","257","25","","62","","",
"Australia","AUS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","24653","","32417","36670","18435","12017","","","","","","7160","15799","28182","25412","19271","14511","9345","8656","12488","17077","19042","22514","24803","41741","37225","39559","37164","37900","36303","","","8347","5679","","","","","","","17865","15723","","","","","3169","","",
"Austria","AUT","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8780","","","","","","","","","","","575","2379","6109","6583","5280","4190","4754","4647","5132","4149","4020","4632","2802","1822","985","521","186","","","",
"Azerbaijan","AZE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11600","10477","14909","46304","24923","9526","39833","44900","17522","31351","41033","42625","52165","43360","45478","44302","34881","34147","31015","31744","26499","20869","8359","","","","3367","12040","",
"Burundi","BDI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","253787","","","","","266579","","269007","266974","265282","254591","247334","240899","238882","227991","223072","","","","","270428","","","","","","","379435","337296","346749","326012","308408","288199","172748","123886","52720","56630","22811","","","","","","","23181","44430","",
"Belgium","BEL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","15363","","8580","6271","9903","10193","20181","21920","22787","17518","11608","6853","","","7219","12757","7103","9591","9818","8279","","","","2296","","1097","4707","9624","11020","10091","6391","4197","4870","5554","4954","4281","4458","5247","4338","3382","1098","","",
"Benin","BEN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","222597","227773","238281","","255703","262661","296299","","290085","285448","284325","281208","276360","266790","","","","","","","","","142666","","114582","","","","","","","","","","","",
"Burkina Faso","BFA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","393490","399425","","","","","442517","452711","462512","469949","475804","481336","488702","499721","507583","513775","524553","540386","556506","","579038","592707","603560","613006","618482","","","633806","644300","649066","654131","676953","673131","668033","636175","611605","568163","509508","483694","544117","492485","487194","481710","479159","468549","390999","381641","353506","",
"Bangladesh","BGD","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","3012322","","","2449992","","","","2426840","2524281","","","2579663","","3012611","2872564","3040693","3148406","3279336","2390162","2419283","2167110","","","","","","","","","","","","","","","","","","239896","","","","","","","","","","","",
"Bulgaria","BGR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15242","11983","8082","5467","5986","5600","6262","5322","4110","5531","4163","","","","","","3047","5547","7251","10662","14626","","","",
"Bahrain","BHR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","5982","5319","5033","5119","4639","5239","5468","5768","5392","4786","4802","5249","4501","3466","2111","1027","1012","557","328","","","610","370","315","22","","","","","","856","1261","1660","1977","3064","2025","","","","","3127","2987","2570","1667","555","254","","1155","",
"Bahamas, The","BHS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1939","1791","","","","","","1667","","","","","1910","1681","2495","2385","2702","3230","3669","2197","3175","4426","4129","3529","4022","","","",
"Bosnia and Herzegovina","BIH","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43582","","","","","","","","","","","","","","","","","","2692","4717","2580","1999","","4346","",
"Belize","BLZ","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166","744","1298","","1093","696","1056","829","907","873","682","372","671","","279","","","","","","",
"Bermuda","BMU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","716","775","","","","","343","301","","","","","","","","","","","","","","","","","","","","","","","","","","65","200","","","","","","","",
"Bolivia","BOL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13792","33511","51045","73193","79376","81220","78221","70191","59300","","",
"Brazil","BRA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450481","","","315725","","95884","","261214","","","","","","","","",
"Barbados","BRB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","2736","2406","2034","","","282","","","","","742","1061","1004","","","","","","27","411","","1334","","","","","","","","298","354","788","790","840","872","586","213","102","227","166","458","","","641","396","151","432","248","",
"Brunei Darussalam","BRN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","1444","1447","2791","2932","3421","3755","3650","3603","","3215","","","","","1860","1414","794","850","336","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","26574","26722","","","","","","","","","","","","","","","","","","","26967","26600","24949","23411","","","","15987","13395","","9538","6873","5449","4698","3493","3766","","4030","4324","4437","3332","",
"Botswana","BWA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","29011","32259","32214","32065","29816","25132","22334","19720","20098","19611","16215","12147","","8288","8138","6431","6799","6563","6293","6309","6382","3579","5074","6317","6671","20746","20471","","16955","18778","17481","15646","15879","15685","16658","13688","13160","15454","17574","19173","","","15889","16398","16996","","","","","",
