"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Belgium","BEL","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","","","","","","","","3.57873010635376","","2.08400988578796","1.55226004123688","2.49550008773804","2.61834001541138","5.28894996643066","5.86217021942139","6.21543979644775","4.86676979064941","3.27589988708496","1.95614004135132","","","2.07161998748779","3.6502799987793","2.02585005760193","2.72618007659912","2.78133988380432","2.33657002449036","","","","0.63781","","0.30178","1.2942","2.65541","3.06368","2.8334","1.80903","1.19428","1.38866","1.58126","1.40362","1.20332","1.23899","1.43755","1.169","0.8961","0.2866","","",
"Benin","BEN","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","66.6737594604492","66.0437469482422","67.0475616455078","","67.208381652832","66.7562103271484","72.9166488647461","","67.0019607543945","63.7035598754883","61.3321914672852","58.749870300293","56.0909309387207","52.406608581543","","","","","","","","","21.57448","","16.41868","","","","","","","","","","","",
"Burkina Faso","BFA","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","","92.5684585571289","92.1110916137695","","","","","90.6581573486328","90.3257827758789","89.9136123657227","89.195198059082","88.5116271972656","87.4941635131836","86.3458633422852","85.4862518310547","83.9797821044922","82.3278198242188","81.2065734863281","80.7088317871094","80.2572174072266","","78.6332626342773","78.165901184082","77.2994079589844","76.3265533447266","75.0575790405273","","","71.7029495239258","70.9752731323242","69.63174","68.4463","68.94338","66.59632","64.15252","59.3257","55.48087","50.0563","43.53843","40.06603","42.20241","37.10891","35.60472","34.1093","32.8676","31.15659","25.24737","23.92627","21.56504","",
"Bangladesh","BGD","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","65.4322204589844","","","49.2511215209961","","","","45.4276390075684","46.2625389099121","","","44.4664115905762","","50.7814483642578","47.0909690856934","48.5524101257324","48.9809608459473","49.7565803527832","35.4507598876953","35.196849822998","31.046459197998","","","","","","","","","","","","","","","","","","3.04532","","","","","","","","","","","",
"Bulgaria","BGR","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.28647994995117","5.81603002548218","4.01035976409912","2.80779004096985","3.22908","3.20766","3.80535","3.43896","2.829","4.05475","3.24201","","","","","","2.49709","4.42006","5.57988","7.89983","10.46351","","","",
"Bahrain","BHR","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","","32.7709007263184","29.3429698944092","27.5599594116211","27.4594993591309","24.0924396514893","26.1636009216309","26.4269504547119","27.2371006011963","25.0255298614502","21.8618698120117","21.521089553833","23.075569152832","19.3225708007813","14.5087699890137","8.63959980010986","4.129469871521","3.95823001861572","2.11056995391846","1.20296001434326","","","2.03876996040344","1.19374001026154","0.984189987182617","0.0671999976038933","","","","","","2.26533","3.25865","4.20317","4.89453","7.3622","4.67365","","","","","6.56809","6.13397","5.16396","3.27299","1.06007","0.46906","","2.02831","",
"Bahamas, The","BHS","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1532897949219","10.2377996444702","","","","","","9.62360000610352","","","","","10.45201","9.13885","13.37013","12.66865","14.26912","16.97588","19.17529","11.38873","16.49351","23.0665","21.60084","18.56684","21.37429","","","",
"Bosnia and Herzegovina","BIH","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.71875","","","","","","","","","","","","","","","","","","1.52779","2.58531","1.35976","1.01335","","2.10219","",
"Belize","BLZ","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.904240012168884","3.88979","6.51149","","5.20204","3.23947","4.80984","3.69677","3.98997","3.80243","2.95008","1.60131","2.87563","","1.20088","","","","","","",
"Bermuda","BMU","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","","","","","","","","","22.0919494628906","24.3251705169678","","","","","11.3689098358154","10.2835702896118","","","","","","","","","","","","","","","","","","","","","","","","","","2.99815","9.38967","","","","","","","",
"Bolivia","BOL","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.05358","4.95221","7.49365","10.69466","11.56648","11.82524","11.39499","10.22788","8.63613","","",
"Brazil","BRA","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.48602","","","4.64084","","1.49212","","4.2696","","","","","","","","",
